position distance_dtw forecast_error
|Point(x=15, y=76)| 1.515 0.147
|Point(x=15, y=77)| 1.462 0.147
|Point(x=15, y=78)| 1.537 0.145
|Point(x=15, y=79)| 1.582 0.152
|Point(x=15, y=80)| 1.577 0.201
|Point(x=15, y=82)| 1.487 0.202
|Point(x=15, y=83)| 1.468 0.202
|Point(x=15, y=84)| 1.525 0.228
|Point(x=15, y=85)| 1.572 0.268
|Point(x=15, y=86)| 1.604 0.279
|Point(x=15, y=87)| 1.595 0.280
|Point(x=15, y=88)| 1.647 0.291
|Point(x=15, y=89)| 1.611 0.308
|Point(x=15, y=90)| 1.513 0.265
|Point(x=15, y=93)| 1.575 0.250
|Point(x=15, y=94)| 1.763 0.295
|Point(x=15, y=95)| 1.643 0.271
|Point(x=15, y=96)| 1.604 0.265
|Point(x=15, y=97)| 1.720 0.275
|Point(x=15, y=98)| 1.803 0.263
|Point(x=15, y=99)| 1.876 0.250
|Point(x=16, y=45)| 1.715 0.180
|Point(x=16, y=64)| 1.601 0.102
|Point(x=16, y=66)| 1.600 0.075
|Point(x=16, y=67)| 1.517 0.101
|Point(x=16, y=68)| 1.558 0.130
|Point(x=16, y=69)| 1.525 0.122
|Point(x=16, y=70)| 1.486 0.120
|Point(x=16, y=71)| 1.529 0.112
|Point(x=16, y=73)| 1.569 0.112
|Point(x=16, y=74)| 1.486 0.109
|Point(x=16, y=75)| 1.448 0.111
|Point(x=16, y=76)| 1.428 0.115
|Point(x=16, y=77)| 1.504 0.128
|Point(x=16, y=81)| 1.552 0.206
|Point(x=16, y=83)| 1.547 0.220
|Point(x=16, y=85)| 1.666 0.274
|Point(x=16, y=86)| 1.640 0.274
|Point(x=16, y=87)| 1.708 0.290
|Point(x=16, y=88)| 1.715 0.285
|Point(x=16, y=89)| 1.679 0.276
|Point(x=16, y=90)| 1.637 0.258
|Point(x=16, y=91)| 1.591 0.249
|Point(x=16, y=92)| 1.699 0.261
|Point(x=16, y=93)| 1.777 0.251
|Point(x=16, y=94)| 1.639 0.219
|Point(x=16, y=95)| 1.687 0.228
|Point(x=17, y=63)| 1.467 0.265
|Point(x=17, y=64)| 1.440 0.186
|Point(x=17, y=65)| 1.627 0.084
|Point(x=17, y=66)| 1.610 0.089
|Point(x=17, y=67)| 1.609 0.101
|Point(x=17, y=68)| 1.636 0.138
|Point(x=17, y=69)| 1.587 0.129
|Point(x=17, y=70)| 1.616 0.135
|Point(x=17, y=71)| 1.571 0.121
|Point(x=17, y=75)| 1.473 0.129
|Point(x=17, y=76)| 1.462 0.138
|Point(x=17, y=77)| 1.502 0.135
|Point(x=17, y=78)| 1.489 0.122
|Point(x=17, y=79)| 1.479 0.110
|Point(x=17, y=80)| 1.421 0.131
|Point(x=17, y=81)| 1.401 0.165
|Point(x=17, y=82)| 1.438 0.188
|Point(x=17, y=83)| 1.638 0.245
|Point(x=17, y=84)| 1.735 0.275
|Point(x=17, y=85)| 1.638 0.266
|Point(x=17, y=86)| 1.689 0.270
|Point(x=17, y=87)| 1.662 0.258
|Point(x=17, y=88)| 1.683 0.243
|Point(x=17, y=89)| 1.787 0.244
|Point(x=18, y=45)| 1.696 0.237
|Point(x=18, y=46)| 1.697 0.188
|Point(x=18, y=64)| 1.496 0.181
|Point(x=18, y=65)| 1.585 0.087
|Point(x=18, y=66)| 1.552 0.101
|Point(x=18, y=67)| 1.611 0.093
|Point(x=18, y=68)| 1.618 0.097
|Point(x=18, y=74)| 1.600 0.162
|Point(x=18, y=75)| 1.601 0.168
|Point(x=18, y=76)| 1.519 0.159
|Point(x=18, y=77)| 1.513 0.156
|Point(x=18, y=78)| 1.578 0.128
|Point(x=18, y=79)| 1.548 0.123
